release_date,title,character
"February 10, 1941",Captain America Comics Vol 1 2,Steven Rogers (Earth-616)
"December 20, 1940",Captain America Comics Vol 1 1,Steven Rogers (Earth-616)
"March 17, 1941",Captain America Comics Vol 1 3,Steven Rogers (Earth-616)
"April 15, 1941",Captain America Comics Vol 1 4,Steven Rogers (Earth-616)
"May 20, 1941",All Winners Comics Vol 1 1,Steven Rogers (Earth-616)
"July 10, 1941",Young Allies Vol 1 1,Steven Rogers (Earth-616)
"May 5, 1941",Captain America Comics Vol 1 5,Steven Rogers (Earth-616)
"June 25, 1941",Captain America Comics Vol 1 6,Steven Rogers (Earth-616)
"August 15, 1941",All Winners Comics Vol 1 2,Steven Rogers (Earth-616)
"August 4, 1941",Captain America Comics Vol 1 7,Steven Rogers (Earth-616)
"September 4, 1941",Captain America Comics Vol 1 8,Steven Rogers (Earth-616)
"September 30, 1941",Captain America Comics Vol 1 9,Steven Rogers (Earth-616)
"November 25, 1941",Young Allies Vol 1 2,Steven Rogers (Earth-616)
"December 27, 1941",All Winners Comics Vol 1 3,Steven Rogers (Earth-616)
"November 7, 1941",Captain America Comics Vol 1 10,Steven Rogers (Earth-616)
"December 5, 1941",Captain America Comics Vol 1 11,Steven Rogers (Earth-616)
"January 5, 1942",Captain America Comics Vol 1 12,Steven Rogers (Earth-616)
"March 12, 1942",All Winners Comics Vol 1 4,Steven Rogers (Earth-616)
"February 2, 1942",Captain America Comics Vol 1 13,Steven Rogers (Earth-616)
"March 5, 1942",Captain America Comics Vol 1 14,Steven Rogers (Earth-616)
"April 6, 1942",Captain America Comics Vol 1 15,Steven Rogers (Earth-616)
"June 17, 1942",All Winners Comics Vol 1 5,Steven Rogers (Earth-616)
"June 17, 1942",Young Allies Vol 1 4,Steven Rogers (Earth-616)
"April 30, 1942",Captain America Comics Vol 1 16,Steven Rogers (Earth-616)
"June 5, 1942",Captain America Comics Vol 1 17,Steven Rogers (Earth-616)
"July 6, 1942",Captain America Comics Vol 1 18,Steven Rogers (Earth-616)
"August 28, 1942",Young Allies Vol 1 5,Steven Rogers (Earth-616)
"September 12, 1942",All Winners Comics Vol 1 6,Steven Rogers (Earth-616)
"August 5, 1942",Captain America Comics Vol 1 19,Steven Rogers (Earth-616)
"September 4, 1942",Captain America Comics Vol 1 20,Steven Rogers (Earth-616)
"October 5, 1942",Captain America Comics Vol 1 21,Steven Rogers (Earth-616)
"October 28, 1942",U.S.A. Comics Vol 1 6,Steven Rogers (Earth-616)
"December 27, 1942",All Winners Comics Vol 1 7,Steven Rogers (Earth-616)
"October 30, 1942",Young Allies Vol 1 6,Steven Rogers (Earth-616)
"November 2, 1942",Captain America Comics Vol 1 22,Steven Rogers (Earth-616)
"December 11, 1942",Captain America Comics Vol 1 23,Steven Rogers (Earth-616)
"December 30, 1942",U.S.A. Comics Vol 1 7,Steven Rogers (Earth-616)
"January 16, 1943",Captain America Comics Vol 1 24,Steven Rogers (Earth-616)
"April 8, 1943",All Winners Comics Vol 1 8,Steven Rogers (Earth-616)
"February 4, 1943",Young Allies Vol 1 7,Steven Rogers (Earth-616)
"February 13, 1943",Captain America Comics Vol 1 25,Steven Rogers (Earth-616)
"February 6, 1943",U.S.A. Comics Vol 1 8,Steven Rogers (Earth-616)
"March 19, 1943",Captain America Comics Vol 1 26,Steven Rogers (Earth-616)
"April 23, 1943",Captain America Comics Vol 1 27,Steven Rogers (Earth-616)
"June 30, 1943",All Winners Comics Vol 1 9,Steven Rogers (Earth-616)
"May 14, 1943",U.S.A. Comics Vol 1 9,Steven Rogers (Earth-616)
"May 20, 1943",Captain America Comics Vol 1 28,Steven Rogers (Earth-616)
"June 16, 1943",Captain America Comics Vol 1 29,Steven Rogers (Earth-616)
"July 3, 1943",U.S.A. Comics Vol 1 10,Steven Rogers (Earth-616)
"July 25, 1943",Captain America Comics Vol 1 30,Steven Rogers (Earth-616)
"July 26, 1943",Young Allies Vol 1 9,Steven Rogers (Earth-616)
"September 11, 1943",All Select Comics Vol 1 1,Steven Rogers (Earth-616)
"October 3, 1943",Kid Komics Vol 1 3,Steven Rogers (Earth-616)
"October 6, 1943",All Winners Comics Vol 1 10,Steven Rogers (Earth-616)
"August 23, 1943",Captain America Comics Vol 1 31,Steven Rogers (Earth-616)
"September 21, 1943",Captain America Comics Vol 1 32,Steven Rogers (Earth-616)
"October 22, 1943",Captain America Comics Vol 1 33,Steven Rogers (Earth-616)
"December 5, 1943",All Select Comics Vol 1 2,Steven Rogers (Earth-616)
"December 31, 1943",All Winners Comics Vol 1 11,Steven Rogers (Earth-616)
"October 18, 1943",U.S.A. Comics Vol 1 11,Steven Rogers (Earth-616)
"November 16, 1943",Captain America Comics Vol 1 34,Steven Rogers (Earth-616)
"December 13, 1943",Captain America Comics Vol 1 35,Steven Rogers (Earth-616)
"January 19, 1944",Captain America Comics Vol 1 36,Steven Rogers (Earth-616)
"February 8, 1944",U.S.A. Comics Vol 1 12,Steven Rogers (Earth-616)
"March 9, 1944",Young Allies Vol 1 12,Steven Rogers (Earth-616)
"April 19, 1944",All Winners Comics Vol 1 12,Steven Rogers (Earth-616)
"April 28, 1944",All Select Comics Vol 1 3,Steven Rogers (Earth-616)
"February 11, 1944",Captain America Comics Vol 1 37,Steven Rogers (Earth-616)
"March 13, 1944",Captain America Comics Vol 1 38,Steven Rogers (Earth-616)
"April 18, 1944",Captain America Comics Vol 1 39,Steven Rogers (Earth-616)
"June 21, 1944",All Select Comics Vol 1 4,Steven Rogers (Earth-616)
"June 30, 1944",U.S.A. Comics Vol 1 13,Steven Rogers (Earth-616)
"May 11, 1944",Captain America Comics Vol 1 40,Steven Rogers (Earth-616)
"August 17, 1944",All Winners Comics Vol 1 13,Steven Rogers (Earth-616)
"June 11, 1944",Captain America Comics Vol 1 41,Steven Rogers (Earth-616)
"September 15, 1944",U.S.A. Comics Vol 1 14,Steven Rogers (Earth-616)
"August 12, 1944",Captain America Comics Vol 1 42,Steven Rogers (Earth-616)
"October 10, 1944",Captain America Comics Vol 1 43,Steven Rogers (Earth-616)
"October 24, 1944",All Select Comics Vol 1 5,Steven Rogers (Earth-616)
"November 30, 1944",All Winners Comics Vol 1 14,Steven Rogers (Earth-616)
"November 13, 1944",Captain America Comics Vol 1 44,Steven Rogers (Earth-616)
"November 30, 1944",All Select Comics Vol 1 6,Steven Rogers (Earth-616)
"December 31, 1944",All Select Comics Vol 1 7,Steven Rogers (Earth-616)
"January 10, 1945",Captain America Comics Vol 1 45,Steven Rogers (Earth-616)
"February 25, 1945",U.S.A. Comics Vol 1 15,Steven Rogers (Earth-616)
"April 5, 1945",All Winners Comics Vol 1 15,Steven Rogers (Earth-616)
